crosscheck_index,category,band,target,llm_label,id1,id2,audit_label,confidence,note
0,Детские товары,exact_negative,0.0,0,781684172038,335007456707,0,H,Фигурки Godzilla разных вариантов: тёмно-синяя статичная 8 см против чёрной с подвижными руками/ногами.
1,Дом и сад,exact_negative,0.0,0,317827705981,94489332270,1,H,"Один комплект 1,5-спальный: сатин-люкс, 90×200, 150×210, 50×70 и три предмета; 125/130 г/м² — допуск."
2,Канцелярские товары,exact_negative,0.0,0,472446542678,257698110574,0,H,Generic бухгалтерский бланк 100 листов не идентифицирует меню-требование КЖ-411 формата A3.
3,Канцелярские товары,exact_negative,0.0,0,824633785732,34359864166,0,H,"Разные бумага и фасовка: Lite 70 г/м², 2×50 листов против Kwelt 80 г/м², 2×20 листов."
4,Красота и гигиена,exact_negative,0.0,0,377957212895,154618834250,0,H,"Blugree 350 мл, но ключевая формула расходится: биотин против оливкового масла; линия B не указана."
5,Красота и гигиена,exact_negative,0.0,0,833223787175,584115639385,0,H,"Разные ароматы/линейки Exxe: Vibe Men против Men Power, несмотря на одинаковые 150 мл и аэрозоль."
6,Обувь,exact_negative,0.0,0,60129707983,377957171376,0,H,Generic детские кроссовки без общей модели; различаются цвет и верх: искусственная кожа против текстиля.
7,Обувь,exact_negative,0.0,0,188978717224,85899347894,0,H,"Разные сапоги: высокий каблук 9 см и молния против модели без каблука, 4 см и без застёжки."
8,Обувь,exact_negative,0.0,0,592705491215,541165907824,0,H,"Tendance одного размера, но кожа/узкая полнота против замши/средней полноты; общей модели нет."
9,Одежда,exact_negative,0.0,0,120259225850,5292,0,H,Moocie свитер с коротким рукавом и домашняя футболка без общего модельного якоря.
10,Одежда,exact_negative,0.0,0,163208899877,747324396234,0,H,Базовое платье без рукавов против блестящего платья-водолазки с длинным рукавом и другим составом.
11,Продукты питания,exact_negative,0.0,0,446676724448,206158550089,0,H,Разные смеси Karmeshu: Garam Masala против Sambhar Masala; масса 100 г не компенсирует рецепт.
12,Спорт и отдых,exact_negative,0.0,0,120259150258,670014909110,0,H,"Приватные сетки разных размеров: 5×1,2 м против 2×3 м."
13,Спорт и отдых,exact_negative,0.0,0,541165985545,549755817544,1,M,"Совпадают DDK, комфортное чёрное седло с эластомером; гель и страна во второй карточке выглядят допописанием/шумом."
14,Спорт и отдых,exact_negative,0.0,0,798863987659,403727015390,0,H,"Frapp Whiphead разных размеров: 70 мм 12 г против 95 мм 30 г, хотя код цвета #32 общий."
15,Строительство и ремонт,exact_negative,0.0,0,627065253782,798864050981,0,H,"Stayer: кельма бетонщика 200 мм против отделочника 185 мм, модель 0821-1."
16,Товары для животных,exact_negative,0.0,0,532575983835,283467911447,0,H,Little One: зерновая палочка с луговыми травами 110 г против беззерновой овощной 160 г.
17,Электроника,exact_negative,0.0,0,472446442068,575525768329,0,H,Разные гарнитуры Jabra: Evolve2 40 mono 24089-899-999 против Evolve2 55 Link380c stereo.
