rule_id,canonical_rule,concept,relation,semantic_family,selection_tier,global_support,global_positive,global_negative,single_difference_support,max_2_differences_support,global_effect_median,scope_candidate_frozen,validation_support,validation_positive,validation_negative,validation_max_2_differences_support,validation_effect_median,validation_stability,allowed_categories,core_alias_of,generation_guard
rule_836e7446da2c5260,compatible_models has different explicit values,compatible_models,different_value,,EXCLUDED_CORE_ALIAS,43,3,40,1,5,-0.978081667747849,CATEGORY_SPECIFIC,5,0,5,1,-1.3018322310150738,SAME_DIRECTION_WEAK,"[""Электроника""]",compatible_model,
rule_0fa37685fed54822,main_ingredient has different explicit values,main_ingredient,different_value,,EXCLUDED_CORE_ALIAS,78,12,66,4,13,-0.9448070225666152,GLOBAL,4,1,3,1,-0.22880722493167294,SAME_DIRECTION_WEAK,"[""Продукты питания""]",active_ingredient,
rule_fc7a7788e034ade8,target_species has different explicit values,target_species,different_value,,EXCLUDED_CORE_ALIAS,88,8,80,2,22,-1.689420933317564,CATEGORY_SPECIFIC,4,1,3,2,-0.48865729322833196,SAME_DIRECTION_WEAK,"[""Товары для животных""]",target_animal,
rule_bb3aa5cca0382a2a,string_gauge_range has different explicit values,string_gauge_range,different_value,,EXCLUDED_CORE_ALIAS,96,6,90,2,16,-1.4295992536741504,CATEGORY_SPECIFIC,4,0,4,0,-1.4646874213450147,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",string_gauge,
rule_a5340a1c85937a3e,model_series has different explicit values,model_series,different_value,,EXCLUDED_CORE_ALIAS,98,12,86,1,11,-0.6447986626164476,CATEGORY_SPECIFIC,5,0,5,0,-2.2842041173630694,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",model_family,
rule_fc075d4bde61dec2,width_mm has different explicit values,width_mm,different_value,,EXCLUDED_CORE_ALIAS,125,4,121,0,16,-2.111314238992902,GLOBAL,10,1,9,2,-0.875971027379077,SAME_DIRECTION_WEAK,"[""Мебель"", ""Строительство и ремонт""]",width,
rule_234359c2718fc81e,total_volume has different explicit values,total_volume,different_value,,EXCLUDED_CORE_ALIAS,153,14,139,2,29,-1.667519430861727,GLOBAL,6,1,5,1,-0.4634102285342029,SAME_DIRECTION_WEAK,"[""Бытовая химия"", ""Красота и гигиена"", ""Продукты питания""]",volume,
rule_bc7b0b32c9bf33fd,metal_color has different explicit values,metal_color,different_value,,EXCLUDED_CORE_ALIAS,154,8,146,1,14,-0.9514260924006822,CATEGORY_SPECIFIC,4,0,4,0,-0.9085003047620587,SAME_DIRECTION_WEAK,"[""Ювелирные изделия""]",color,
rule_92570f96416ccbbd,model_line has different explicit values,model_line,different_value,,EXCLUDED_CORE_ALIAS,214,24,190,3,19,-0.9330636527100763,GLOBAL,6,1,5,0,-0.3453129564490114,SAME_DIRECTION_WEAK,"[""Канцелярские товары"", ""Красота и гигиена"", ""Мебель"", ""Товары для животных""]",product_line,
rule_68c8199ccf6b8847,gold_color has different explicit values,gold_color,different_value,,EXCLUDED_CORE_ALIAS,223,9,214,1,5,-1.2072575056282686,CATEGORY_SPECIFIC,13,1,12,1,-0.3291918303512754,SAME_DIRECTION_WEAK,"[""Ювелирные изделия""]",color,
