comparison_id,pattern,category,target,title_a,title_b,numbers_a,numbers_b,codes_a,codes_b
C001,code_conflict,Электроника,0,для acer a315-42g-r61r aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур),для acer a315-42g-r9xv aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),12 | 19,12 | 59360,a31542gr61r,a31542gr9xv
C002,code_conflict,Музыкальные инструменты,0,акустическая гитара greg bennett gj100s/n,акустическая гитара greg bennett gd100s,20 | 255 | 6,1 | 12 | 20 | 3000 | 43 | 6 | 650,gj100s,gd100s
C003,code_conflict,Музыкальные инструменты,0,"gold-a6-nat gold series электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort","gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort",20 | 4100 | 44 | 6,20 | 4 | 6 | 643,golda6nat,goldoc6wcasenat
C004,code_conflict,Музыкальные инструменты,0,пластик для барабана evans b08g14,пластик для барабана evans b12gpw,1 | 8,1,b08g14,b12gpw
C005,code_conflict,Музыкальные инструменты,0,"evans / tt14ec2s пластик для малого и том барабана 14""","g plus clear пластик для том барабана 10"", evans tt10gp",1 | 14,10,tt14ec2s,tt10gp
C006,code_conflict,Музыкальные инструменты,0,"1847 noble high bb губная гармошка, seydel sohne 16501hbb","c. a. seydel sohne 16501hab 1847 noble high ab губная гармошка, seydel sohne",1847,1847,16501hbb,16501hab
C007,code_conflict,Музыкальные инструменты,0,sr343 java трости для саксофона баритон №3 (5шт) vandoren,"sr3425 трости для саксофона баритон №2,5 (5шт) vandoren",,1 | 2.5 | 5,sr343,sr3425
C008,code_conflict,Автотовары,0,стойка стабилизатора asp rj30036,стойка стабилизатора asp rj30006,1 | 600007559226,,rj30036,rj30006
C009,code_conflict,Музыкальные инструменты,0,flight fbg-1009 чехол для классической гитары,flight / fbg-1039 butterfly чехол для классической гитары,1 | 1009 | 540,1039 | 110 | 16 | 45,fbg1009,fbg1039
C010,code_conflict,Музыкальные инструменты,0,гитара акустическая aria-205 n,гитара акустическая foix za-83cm-na,1 | 20 | 205 | 44 | 6 | 650,,aria205,za83cmna
C011,code_conflict,Музыкальные инструменты,0,d'addario nw017 - одиночная струна,струна для электрогитары d'addario nw018 обмотка никелированная сталь,17 | 4,,nw017,nw018
C012,code_conflict,Музыкальные инструменты,0,"mz-chgb-3b/skull2 чехол для бас-гитары, черный/черепа, mezzo","mz-chgc-3grey чехол для классической гитары, mezzo",,1 | 105,mzchgb3b | skull2,mzchgc3grey
C013,code_conflict,Музыкальные инструменты,0,rico rsf10ssx3m трости для саксофона,rico rsf10ssx4m трости для саксофона,,0.6 | 0.8 | 10 | 4.0,rsf10ssx3m,rsf10ssx4m
C014,code_conflict,Музыкальные инструменты,0,jet js-450 tbl - электрогитара шестиструнная,"jet electric / jt-450q - электрогитара, telecaster",12 | 22 | 450 | 6 | 648 | 6670335486,101 | 22 | 4 | 42 | 5 | 6 | 647.7,js450,jt450q
