rule_id,canonical_rule,concept,relation,semantic_family,selection_tier,global_support,global_positive,global_negative,single_difference_support,max_2_differences_support,global_effect_median,scope_candidate_frozen,validation_support,validation_positive,validation_negative,validation_max_2_differences_support,validation_effect_median,validation_stability,allowed_categories,core_alias_of,generation_guard
rule_6571ad3b5ba7aa38,key_tuning has different explicit values,key_tuning,different_value,instrument_spec,RARE_SAFE,20,1,19,1,7,-1.530949711108521,CATEGORY_SPECIFIC,4,0,4,4,-1.48084781066609,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",,"Choose two valid but distinct values for the same instrument subtype and keep instrument family, brand and model context fixed."
rule_e0ac5f32e0551448,pasta_shape has different explicit values,pasta_shape,different_value,consumable_variant,RARE_SAFE,24,1,23,4,8,-1.9872830683635552,CATEGORY_SPECIFIC,3,0,3,1,-1.5074171715608666,SAME_DIRECTION_WEAK,"[""Продукты питания""]",,"Choose mutually exclusive explicit variants, not synonyms, mixtures, assortments or a broad value containing the narrow value."
rule_c468e766f15511f7,compatible_phone_model has different explicit values,compatible_phone_model,different_value,compatibility_target,RARE_SAFE,25,1,24,5,10,-1.4998759151193566,CATEGORY_SPECIFIC,3,0,3,1,-0.8247639325463398,SAME_DIRECTION_WEAK,"[""Электроника""]",,Replace the exact compatible model with a different valid model; reject universal accessories and compatibility lists containing both models.
rule_43e773fb47a2bb7c,custom_name has different explicit values,custom_name,different_value,personalization,RARE_SAFE,34,0,34,3,7,-4.227910354733357,CATEGORY_SPECIFIC,3,0,3,2,-2.0753425701016424,SAME_DIRECTION_WEAK,"[""Канцелярские товары""]",,Change the explicit personalized text/name while preserving the base item; both sides must contain non-empty concrete values.
rule_8066b3533bb1cfe1,engraving_text has different explicit values,engraving_text,different_value,personalization,RARE_SAFE,38,1,37,0,6,-1.9805374102543025,CATEGORY_SPECIFIC,3,0,3,1,-1.560332294135481,SAME_DIRECTION_WEAK,"[""Галантерея и аксессуары""]",,Change the explicit personalized text/name while preserving the base item; both sides must contain non-empty concrete values.
rule_f6fe500617600790,lash_thickness has different explicit values,lash_thickness,different_value,beauty_variant,RARE_SAFE,51,1,50,3,12,-3.187364000111417,CATEGORY_SPECIFIC,4,0,4,1,-2.242140427567844,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_e35082696c4369a5,lash_curl has different explicit values,lash_curl,different_value,beauty_variant,RARE_SAFE,59,0,59,4,17,-4.998260606293391,CATEGORY_SPECIFIC,5,0,5,1,-2.5164414662202024,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_8eb0649a5cc85498,lash_length has different explicit values,lash_length,different_value,beauty_variant,RARE_SAFE,59,3,56,3,18,-2.3097395037241464,CATEGORY_SPECIFIC,5,0,5,3,-2.4591079488136875,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_ecedb87a894f9151,hook_size has different explicit values,hook_size,different_value,dimensional_spec,RARE_SAFE,72,4,68,9,27,-1.7528292987421457,CATEGORY_SPECIFIC,3,0,3,1,-1.6520021399180613,SAME_DIRECTION_WEAK,"[""Спорт и отдых""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_c8279513c21f3c1b,needle_diameter has different explicit values,needle_diameter,different_value,dimensional_spec,RARE_SAFE,72,5,67,3,23,-2.37749549226065,CATEGORY_SPECIFIC,6,0,6,4,-2.9819778131227324,SAME_DIRECTION_WEAK,"[""Хобби и творчество""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_3dafe3e882f84fb0,curl_type has different explicit values,curl_type,different_value,beauty_variant,RARE_SAFE,73,0,73,0,13,-5.23156171721767,CATEGORY_SPECIFIC,5,1,4,1,-0.6136018107372408,SAME_DIRECTION_WEAK,"[""Красота и гигиена""]",,"Choose two explicit, mutually distinct variant values and update all title and attribute mentions consistently."
rule_8fa25cdb4fe1bd4d,sheet_size has different explicit values,sheet_size,different_value,dimensional_spec,RARE_SAFE,83,3,80,1,5,-2.255356069480454,CATEGORY_SPECIFIC,3,0,3,1,-1.6895364288931634,SAME_DIRECTION_WEAK,"[""Дом и сад""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_4027fb60fec7ff28,target_surface has different explicit values,target_surface,different_value,target_compatibility,RARE_SAFE,102,32,70,6,21,-0.6244370330618696,CATEGORY_SPECIFIC,5,2,3,2,-0.11201101054043341,SAME_DIRECTION_WEAK,"[""Бытовая химия""]",,Use mutually exclusive explicit targets; reject broad/subset pairs and items explicitly suitable for both targets.
rule_7cf1ef1fdf525008,active_ingredient has different explicit values,active_ingredient,different_value,composition_identity,RARE_SAFE,120,21,99,2,24,-0.8190696122213288,GLOBAL,7,1,6,2,-1.0621002179550758,SAME_DIRECTION_WEAK,"[""Красота и гигиена"", ""Спорт и отдых""]",,"Replace the principal explicit ingredient, not concentration, additive or free-from claim; reject multi-ingredient subset comparisons."
rule_2927e486f6832204,design_pattern has different explicit values,design_pattern,different_value,categorical_variant,RARE_SAFE,141,10,131,6,24,-1.4235224837412666,GLOBAL,7,1,6,1,-0.3497935830060379,SAME_DIRECTION_WEAK,"[""Хобби и творчество"", ""Электроника""]",,"Choose mutually exclusive explicit category-valid values; reject synonyms, subsets and multi-value lists containing both variants."
rule_a488f60e29897411,frame_size has different explicit values,frame_size,different_value,dimensional_spec,RARE_SAFE,149,13,136,8,19,-1.6792987740321228,GLOBAL,10,2,8,4,-0.7584633299242937,SAME_DIRECTION_WEAK,"[""Детские товары"", ""Хобби и творчество""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_755fccc70551246d,cable_length has different explicit values,cable_length,different_value,dimensional_spec,RARE_SAFE,170,6,164,3,33,-2.1991518661286706,GLOBAL,7,1,6,2,-0.7286885423201812,SAME_DIRECTION_WEAK,"[""Строительство и ремонт"", ""Хобби и творчество"", ""Электроника""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_f53bb79d59252242,load_index has different explicit values,load_index,different_value,vehicle_spec,RARE_SAFE,177,9,168,2,6,-1.356679886705031,CATEGORY_SPECIFIC,13,1,12,1,-0.3795825833984201,SAME_DIRECTION_WEAK,"[""Автотовары""]",,"Change one normalized vehicle/tyre specification; do not mix index, size, speed rating or compatibility fields."
rule_d72b383e5fdd66e3,target_animal has different explicit values,target_animal,different_value,target_compatibility,RARE_SAFE,192,47,145,12,48,-0.5369009635184658,CATEGORY_SPECIFIC,13,4,9,2,-0.2908929953376741,SAME_DIRECTION_WEAK,"[""Товары для животных""]",,Use mutually exclusive explicit targets; reject broad/subset pairs and items explicitly suitable for both targets.
rule_a7d48af850b67d17,instrument_type has different explicit values,instrument_type,different_value,instrument_spec,RARE_SAFE,242,16,226,6,18,-1.394152459901203,CATEGORY_SPECIFIC,14,1,13,2,-0.9690367266615041,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",,"Choose two valid but distinct values for the same instrument subtype and keep instrument family, brand and model context fixed."
rule_9985fc48a8512f98,cylinder_power has different explicit values,cylinder_power,different_value,optical_prescription,RARE_SAFE,294,2,292,2,20,-2.355343476990912,CATEGORY_SPECIFIC,13,1,12,2,-0.3874882215122467,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
rule_7e16fc9f13e7410f,oxygen_permeability has different explicit values,oxygen_permeability,different_value,optical_prescription,RARE_SAFE,324,12,312,5,37,-0.6975056737118321,CATEGORY_SPECIFIC,16,1,15,2,-0.5927580440161935,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
rule_e47906aec49b09ca,compatible_model has different explicit values,compatible_model,different_value,compatibility_target,RARE_SAFE,333,22,311,32,96,-1.114539524438407,CATEGORY_SPECIFIC,11,0,11,1,-2.042233389650696,SAME_DIRECTION_WEAK,"[""Электроника""]",,Replace the exact compatible model with a different valid model; reject universal accessories and compatibility lists containing both models.
rule_6781877044ead9dd,axis has different explicit values,axis,different_value,optical_prescription,RARE_SAFE,368,3,365,8,55,-2.2094441383574437,CATEGORY_SPECIFIC,14,1,13,2,-0.46407243019502986,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
