audit_id	bucket	subtype	note
1	label_conflict	hard_variant_conflict	Different Sailun lines, sizes, indices and manufacturer articles.
2	label_conflict	hard_variant_conflict	Different car brands, paint codes and manufacturer articles.
3	text_insufficient	missing_anchor	Second card is only a generic CTR ball joint; identity cannot be verified.
4	qwen_error	missed_exact_anchor	Both cards carry manufacturer code DT0132 despite different titles/brands.
5	label_conflict	hard_variant_conflict	MG81 wheels differ in PCD, ET and article 5004/0 vs 5048/0.
6	label_conflict	different_entity	Camozzi tee fitting versus Patron brake hose.
7	label_conflict	hard_variant_conflict	Regular lens versus toric astigmatic lens, with different curve/cylinder/axis.
8	qwen_error	missed_exact_product	Same Komaroed Super aerosol and 125 ml; weight/color fields are packaging/noise.
9	label_conflict	hard_variant_conflict	Different Kao Attack lines, formula purpose and fragrance.
10	label_conflict	hard_variant_conflict	Same line but explicit 450 ml versus 750 ml.
11	policy_ambiguous	formula_scope	ABC 3 kg may be same retail product, but Color versus universal purpose conflicts.
12	text_insufficient	missing_variant	Second card omits lemon and explicit 2x150 g; 340 g packed weight is inconclusive.
13	label_conflict	hard_variant_conflict	Ariel Color versus Mountain Spring/dark-fabric variant.
14	qwen_error	missed_exact_product	Tide powder 6 kg; generic fresh versus Alpine Fresh is compatible wording.
15	label_conflict	hard_variant_conflict	Different backpack brands, volumes and dimensions.
16	text_insufficient	generic_card	Second card only says hair decoration; image may identify the tiara.
17	label_conflict	hard_variant_conflict	Different brands, materials and product construction despite both being red crossbody bags.
18	label_conflict	different_entity	Ponytail volumizer versus two 50 cm hair extensions.
19	text_insufficient	generic_card	One card only says children's weapon; could be the pictured bow.
20	label_conflict	hard_variant_conflict	Different Fairy sets, scenes, article numbers and 646 versus 702 pieces.
21	text_insufficient	generic_card	Generic 1Toy RC car versus generic unbranded 4WD RC truck; no shared model.
22	label_conflict	hard_variant_conflict	Zhorya functional 36 cm doll versus soft musical no-name doll with bottle.
23	text_insufficient	missing_anchor	Both are T-90 toy tanks, but no shared maker/model and dimensions are incomplete.
24	qwen_error	missed_exact_product	Same rare Kрошка Я “Путешествие в Африку” bath-toy set.
25	qwen_error	missed_exact_product	Titles uniquely describe the same knitted-dress mixed-color doll.
26	text_insufficient	missing_anchor	Generic blaster versus branded Blaze Storm ZC7111; ten darts alone is insufficient.
27	label_conflict	quantity_conflict	Explicit two packs of 46 diapers versus one 46-count pack.
28	qwen_error	missed_exact_product	Same Double Eagle Volvo radio-controlled concrete mixer/truck family.
29	qwen_error	missed_exact_product	Same uniquely named “Милый единорожка” water pistol.
30	text_insufficient	generic_card	One card only says toy household appliance; image may identify the sewing machine.
31	qwen_error	missed_exact_product	Near-identical title and attributes for the same road roller RC toy.
32	qwen_error	missed_exact_product	Same rare sorter “Барабан. Новогоднее настроение”.
33	text_insufficient	generic_card	Generic ceramic planter versus a specific cactus-design 0.7 L pot.
34	qwen_error	missed_fingerprint	Troyka wall clock, 30.5 cm, white/classic; multiple independent fields agree.
35	qwen_error	missed_exact_product	Exact long title and matching 4.7 L, 18x20 cm ceramic pot.
36	label_conflict	hard_variant_conflict	Generic 18 cm vase versus Evis Натали-1, 27 cm tall, 3 L.
37	label_conflict	quantity_conflict	Generic balloon/set versus explicit 100 gold modelling balloons.
38	qwen_error	missed_exact_product	Exact Halloween mixed-color textile mask title and type.
39	text_insufficient	generic_card	Generic Lisik brush versus specific round synthetic brush #7; no shared model.
40	text_insufficient	missing_anchor	Dimensions match A3, but first card omits envelope construction and Devente identity.
41	policy_ambiguous	private_label_oem	Different brands, but exact 300x317 blue bumvinyl registrar fingerprint may indicate one OEM item.
42	text_insufficient	generic_card	Same Calligrata brand, but first card lacks dimensions and camouflage/design evidence.
43	label_conflict	different_entity	Gouache versus watercolor.
44	label_conflict	different_entity	Generic sketchbook versus A5 kraft drawing pad with specified paper.
45	label_conflict	hard_variant_conflict	Hexagonal versus triangular pencils.
46	qwen_error	missed_exact_product	Titles are literally identical, including brand, design, dimensions, material and color.
47	text_insufficient	generic_card	Specific football-design diary versus generic Calligrata diary without design/article.
48	text_insufficient	missing_design	A4 one-sheet decoupage-card fingerprint matches, but the actual design is absent.
49	label_conflict	quantity_conflict	Explicit two 250-sheet packs versus one pack.
50	qwen_error	missed_exact_product	Exact long backpack title plus matching dimensions, weight, material and pockets.
51	text_insufficient	generic_card	Specific Feniks design versus generic Lisik diary; image/design identity unavailable.
52	label_conflict	different_entity	Hair balm versus shampoo.
53	label_conflict	hard_variant_conflict	Anti-dandruff L'Oreal line versus anti-discomfort sensitive-scalp Mivis product.
54	qwen_error	missed_product_line	Nioxin 300 ml composition/colored-hair purpose supports System 4 despite generic first title.
55	qwen_error	missed_exact_product	Exact Round Lab Birch Juice SPF50 50 ml; Youvogue is a noisy seller/brand field.
56	label_conflict	hard_variant_conflict	Concealer shade 02 versus shade 01.
57	label_conflict	hard_variant_conflict	Naturehike chair lacks shared model and conflicts in height 105 versus 81 cm.
