generation_rule_id,source_rule_id,generation_tier,label,concept,relation,semantic_family,attribute_key,anchor_hint,allowed_categories,generation_action,required_postcondition,selection_reason,category,attribute_key_source,observed_attribute_key_support,top_observed_attribute_keys,all_pair_support,all_label0,all_label1,all_occurrence_target_probability,singleton_support,singleton_label0,singleton_label1,singleton_target_probability,discovery_singleton_support,validation_singleton_support,example_pair_ids,example_value_pairs
gen_stat_2d445f580d66fd57,stat_2d445f580d66fd57,STAT_LABEL0_MIN2_P80,0,car_brand,different_value,statistical_atomic_difference,Марка автомобиля,"Создай товар, где характеристику «Марка автомобиля» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Автотовары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Автотовары,override,2,"[{'attribute_key': 'марка автомобиля', 'support': 2}]",183,164,19,0.8961748633879781,3,3,0,1.0,3,0,rp_71f58f533df975967b04ce58;rp_1c105cb2a0ff309bbfaa1af9;rp_319cfc328851cb4cc29310e9,ford | toyota | nissan
gen_stat_7a862fa83f28fd8f,stat_7a862fa83f28fd8f,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,car_model,different_value,statistical_atomic_difference,Модель автомобиля,"Создай товар, где характеристику «Модель автомобиля» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Автотовары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Автотовары,override,3,"[{'attribute_key': 'модель автомобиля', 'support': 3}, {'attribute_key': 'модель', 'support': 2}, {'attribute_key': 'oem-номер', 'support': 1}, {'attribute_key': 'модель тс', 'support': 1}]",281,243,38,0.8647686832740213,15,14,1,0.9333333333333333,14,1,rp_f2c882c0af39a0fdea4ad464;rp_6cd07f05cff5c191b6d6e3b3;rp_1b7580b85cd364e88d7a2c65,ниссан альмера classic седан | ниссан армада | nissan pathfinder 3
gen_stat_54de59afa601d232,stat_54de59afa601d232,STAT_LABEL0_MIN2_P80,0,color,different_value,statistical_atomic_difference,Цвет товара,"Создай товар, где характеристику «Цвет товара» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Автотовары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Автотовары,override,13,"[{'attribute_key': 'цвет товара', 'support': 13}, {'attribute_key': 'цвет', 'support': 4}]",572,518,54,0.9055944055944056,19,16,3,0.8421052631578947,14,5,rp_71f58f533df975967b04ce58;rp_4caa38759a05cac587b44c5d;rp_a04152e7673a34e6dbfdc34b,bright red | серый | светло-серый
gen_stat_984131ee4229872f,stat_984131ee4229872f,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,color_code,different_value,statistical_atomic_difference,Название цвета,"Создай товар, где характеристику «Название цвета» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Автотовары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Автотовары,override,0,[],122,113,9,0.9262295081967213,5,5,0,1.0,4,1,rp_2ea2a8589c2ddee28046eb11;rp_0f5a6d5272eecbbe596385df;rp_cce3b53e408cd01551a3b174,mb | p6k | nh75m
gen_stat_1253793637953c55,stat_1253793637953c55,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,material,different_value,statistical_atomic_difference,Материал,"Создай товар, где характеристику «Материал» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. В частности, не указывай состав, сырьё, конструкцию или назначение, которые верны только для исходного значения.",['Автотовары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Автотовары,override,9,"[{'attribute_key': 'материал', 'support': 9}]",226,203,23,0.8982300884955752,5,5,0,1.0,4,1,rp_ed03685b97132d94817b9a01;rp_4caa38759a05cac587b44c5d;rp_d9e800ac527e271dc192453f,сетка | экокожа | искусственная кожа
gen_stat_f858e074d3ce8c1f,stat_f858e074d3ce8c1f,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,model,different_value,statistical_atomic_difference,Модель,"Создай товар, где характеристику «Модель» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Автотовары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Автотовары,override,53,"[{'attribute_key': 'партномер (артикул производителя)', 'support': 53}, {'attribute_key': 'артикул производителя', 'support': 52}, {'attribute_key': 'артикул', 'support': 10}, {'attribute_key': 'модель', 'support': 5}, {'attribute_key': 'код производителя', 'support': 2}]",500,450,50,0.9,197,175,22,0.8883248730964467,150,47,rp_e40136ecdd32dda3b17b0b40;rp_69829cd61bbd3603b737b972;rp_96159d9dd04609f8e2b35ff1,lf825m | db43024 | 1 987 946 065
gen_stat_979a3ab8d2742c08,stat_979a3ab8d2742c08,STAT_LABEL0_CROSS_SPLIT_MIN2_P80,0,size,different_value,statistical_atomic_difference,Размер,"Создай товар, где характеристику «Размер» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Автотовары'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",cross_split_p80,Автотовары,override,0,[],25,25,0,1.0,3,3,0,1.0,2,1,rp_0996cfbef68de32bac6e69c3;rp_d9e800ac527e271dc192453f;rp_bbf0a700b71a383c5329ffcd,l(39-41см) | xl | 30x30x55см
gen_stat_a84c835d5883b6f9,stat_a84c835d5883b6f9,STAT_LABEL0_MIN2_P80,0,axis,different_value,statistical_atomic_difference,Ось,"Создай товар, где характеристику «Ось» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Аптека'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Аптека,static_pair_rule_mapping,1,"[{'attribute_key': 'ось (axis)', 'support': 1}, {'attribute_key': 'ось линзы', 'support': 1}, {'attribute_key': 'ось', 'support': 1}]",283,280,3,0.9893992932862191,2,2,0,1.0,2,0,rp_e685f396514d9431b6af86ba;rp_109955330cd81ab31a682e1e;rp_d324bd4c51e5bd6c8a4d8c9c,20 | 90 | 50
gen_stat_09b6d4cce9471325,stat_09b6d4cce9471325,STAT_LABEL0_MIN2_P80,0,diopters,different_value,statistical_atomic_difference,Оптическая сила,"Создай товар, где характеристику «Оптическая сила» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены.",['Аптека'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",singleton_and_all_occurrence_p80,Аптека,override,4,"[{'attribute_key': 'оптическая сила', 'support': 4}, {'attribute_key': 'диоптрии', 'support': 2}]",302,302,0,1.0,4,4,0,1.0,4,0,rp_9f96c320e7e2ce94e830bb96;rp_241381d601363144f3367b64;rp_0dd7eee12b499e10ef8c6621,"-3,25 | +2.50 | -1.75"
gen_stat_e6eb4a85af3bf757,stat_e6eb4a85af3bf757,STAT_LABEL0_UNANIMOUS_OVERRIDE,0,flavor,different_value,statistical_atomic_difference,Вкус,"Создай товар, где характеристику «Вкус» можно изменить независимо. Не добавляй другие атрибуты, которые логически фиксируют её значение или станут противоречивыми после замены. В частности, не указывай состав, сырьё, конструкцию или назначение, которые верны только для исходного значения.",['Аптека'],"Replace exactly this explicit attribute with a different, realistic value for the same concrete product subtype.","Change only this attribute; preserve product subtype and all unrelated facts, and update every title mention consistently.",unanimous_singleton_override,Аптека,override,2,"[{'attribute_key': 'аромат/вкус', 'support': 2}, {'attribute_key': 'аромат', 'support': 1}]",9,6,3,0.6666666666666666,3,3,0,1.0,3,0,rp_3d8a84c363307236b65d7cff;rp_3da738399559e2744b99e64b;rp_42568abf1ae9015fec3396a8,без вкуса | фруктов | клубника
