candidate_status,level,scope_category,concept,relation,target_label,all_pair_support,all_singleton_support,all_singleton_label0,all_singleton_label1,target_probability,target_wilson_lcb95,validation_singleton_support,validation_target_probability,observed_category_count,categories_with_5_singletons,discovery_q_value_label0,discovery_q_value_label1,all_example_pair_ids,all_example_value_pairs,rule_description_ru
provisional_lcb80_holdout_consistent,category_concept,Аптека,optical_power,different_value,0,6588,301,301,0,1.0,0.9873985026985662,47,1.0,4,1,2.334133225469298e-43,1.0,rp_74cd0be132fadd0f21dad35e;rp_e685f396514d9431b6af86ba;rp_f29d5c7c2fb8b8086ff942c9,"+3.25 | -0,75 | -1.50",В категории Аптека различие по optical_power (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Спорт и отдых,color_code,different_value,0,495,81,80,1,0.9876543209876543,0.9333311840195164,18,1.0,11,3,1.024942708954736e-05,1.0,rp_08c1e109c05d074e14fe1ed7;rp_b89d186bf84bf1114df833d5;rp_fed44a7cc1e28728e5c4991f,305 | 005 | 10,В категории Спорт и отдых различие по color_code (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,global_concept,__ALL__,color_code,different_value,0,1724,134,129,5,0.9626865671641791,0.9156257225126919,26,1.0,11,3,3.3734964753118646e-12,1.0,rp_08c1e109c05d074e14fe1ed7;rp_2ea2a8589c2ddee28046eb11;rp_2ccc835d6d0599849adebb8b,305 | mb | 8990,В нескольких категориях различие по color_code (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Канцелярские товары,color_count,different_value,0,131,35,35,0,1.0,0.9010990076755959,11,1.0,6,2,0.057530357770639765,1.0,rp_bb84ae4e1c943c7acfb510d6;rp_fcb19765bbc5a4e098b9bb87;rp_502d4fafd49186bd5aab2042,60 | 18 цветов | 6 цветов,В категории Канцелярские товары различие по color_count (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Канцелярские товары,name_on_cover,different_value,0,41,34,34,0,1.0,0.898485445846676,3,1.0,1,1,0.0023763676735932713,1.0,rp_3677f96dfdb1720f4c01f83c;rp_dec08f14ba034cb4785d6371;rp_4bf2bce742c58557dc3107e0,маруф | флорид | лариса,В категории Канцелярские товары различие по name_on_cover (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Продукты питания,package_quantity,different_value,0,2791,193,179,14,0.927461139896373,0.8819365751742537,26,0.8846153846153846,18,16,1.419430449729567e-22,1.0,rp_ae90af2ba531aaa90b6da8f6;rp_d09700d977a1e8c5bc10ce41;rp_44ab5f93b5eb239bb92856f0,6 | 10 штук | 1,В категории Продукты питания различие по package_quantity (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Строительство и ремонт,diameter,different_value,0,736,57,55,2,0.9649122807017544,0.8807921863237419,12,0.9166666666666666,15,9,0.002933460860942689,1.0,rp_9c3ae9d5d3d4b984f6600f06;rp_a230f59397ffee5181da58df;rp_c093da79d1fa68320b5a100d,"6,0 мм | 4 | 32",В категории Строительство и ремонт различие по diameter (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Хобби и творчество,scent,different_value,0,48,28,28,0,1.0,0.8793566952341543,6,1.0,11,8,0.0019688494470308147,1.0,rp_640ddac424547fcb779ece58;rp_8ed70cd4231ddabdcc1b09d4;rp_02206d88248c44ce82617988,кокос и ваниль | initio oud for greatness | орхидея; роза; ландыш,В категории Хобби и творчество различие по scent (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Музыкальные инструменты,model,different_value,0,7500,994,893,101,0.8983903420523138,0.8780476195580812,212,0.8915094339622641,18,18,1.8756161998263502e-56,1.0,rp_dce2dc381cac8f63a235a036;rp_f18c6ab9c31ceafbf52d1252;rp_164f3815466ac971039bd3c5,dp 300 | m15c-gg | ftc-21,В категории Музыкальные инструменты различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Автотовары,model,different_value,0,2696,962,861,101,0.895010395010395,0.8740433310442236,184,0.9021739130434783,18,18,9.320376979067085e-15,1.0,rp_e40136ecdd32dda3b17b0b40;rp_69829cd61bbd3603b737b972;rp_96159d9dd04609f8e2b35ff1,lf825m | db43024 | 1 987 946 065,В категории Автотовары различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Автотовары,manufacturer_part_number,different_value,0,1416,376,341,35,0.9069148936170213,0.8732919265698486,85,0.9176470588235294,14,1,0.00032883637964233693,1.0,rp_76030b366d328c215aa2eafe;rp_893e5dd702ffe1b8fa5c9840;rp_f88fa5d0f77384d218dc46d8,111211200501999 | pbk3615 | l11060,В категории Автотовары различие по manufacturer_part_number (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Бытовая химия,package_quantity,different_value,0,2271,477,430,47,0.9014675052410901,0.8714291460320666,99,0.9393939393939394,18,16,5.72148224599894e-58,1.0,rp_7e296ca7c6c71c2bd51a27e6;rp_a64d7b0e2e62cf8cc420f426;rp_a327e4747d2d7b2bdc5c2492,90 шт | 3 | 4 шт,В категории Бытовая химия различие по package_quantity (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Автотовары,part_number,different_value,0,3373,759,673,86,0.8866930171277997,0.8621686797400265,151,0.9470198675496688,6,4,2.2379923840105097e-05,1.0,rp_8c68a3a7013db8ffa2a15036;rp_7d946815337263578dafb82f;rp_23364383a3e61aed18e9d11e,801015 | nab-353 | teb1734r,В категории Автотовары различие по part_number (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Ювелирные изделия,gold_color,different_value,0,709,68,64,4,0.9411764705882353,0.8582831156689853,16,0.9375,2,1,1.0,1.0,rp_99751c6e34757884d39eaa3b;rp_b2224127f0a0f7388bc551f5;rp_f16abd9721dfae76999626b3,белое золото | белое | желтое,В категории Ювелирные изделия различие по gold_color (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Хобби и творчество,size,different_value,0,981,149,136,13,0.912751677852349,0.856452134172779,29,0.8620689655172413,18,13,4.016173583071046e-20,1.0,rp_bb70c1902de8f8cb2c1488b0;rp_ad8499127133156ff180e4b5;rp_8ec1ce3bec0d0a14abb37a35,19х24 см | 7.5x4.5см | 30*38,В категории Хобби и творчество различие по size (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,global_concept,__ALL__,part_number,different_value,0,4024,780,686,94,0.8794871794871795,0.8547605254236312,153,0.9411764705882353,6,4,1.3754226953063175e-39,1.0,rp_8c68a3a7013db8ffa2a15036;rp_677ab5de8853c7ac0946057f;rp_7d946815337263578dafb82f,801015 | bat-e10 | nab-353,В нескольких категориях различие по part_number (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Продукты питания,model,different_value,0,530,35,34,1,0.9714285714285714,0.854669127663863,9,1.0,18,18,0.09410883800830154,1.0,rp_951d9169c770acd97c7f16bb;rp_d313f7de7e0a134ac55f6be8;rp_860be3eafe7589cc34999fa5,№82 | menghai xiao gong | cereal шоколадные шарики,В категории Продукты питания различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Электроника,model,different_value,0,3926,392,348,44,0.8877551020408163,0.8526683511174425,77,0.9090909090909091,18,18,1.1178818702589438e-08,1.0,rp_91b93592f41e8f51f5158d97;rp_009562c1aef4b30b330c87ca;rp_4305db3dd0942dda35e23c27,6s7e0ea-wpro | kf560c40bbk2-32 | kf552c40bbk2-32,В категории Электроника различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Красота и гигиена,curl,different_value,0,510,34,33,1,0.9705882352941176,0.8508442670731406,5,1.0,1,1,0.018143563295313206,1.0,rp_3ef1998ac19da2ada11d81d9;rp_2ee631aa055b3a15e6100f25;rp_8875bbcf7e4bc6296f8730de,cc | l | m,В категории Красота и гигиена различие по curl (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Строительство и ремонт,package_quantity,different_value,0,1645,218,195,23,0.8944954128440367,0.8466659889782291,41,0.8780487804878049,18,16,2.6915121506282216e-09,1.0,rp_7de5851c5ed52c8181c76741;rp_801da783ed79f3e01d88af07;rp_eaad01a8220d86b610d9588b,1 | 5шт | 3,В категории Строительство и ремонт различие по package_quantity (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Аптека,diopters,different_value,0,1606,21,21,0,1.0,0.8453609810751531,4,1.0,2,1,1.0,1.0,rp_9f96c320e7e2ce94e830bb96;rp_241381d601363144f3367b64;rp_0dd7eee12b499e10ef8c6621,"-3,25 | +2.50 | -1.75",В категории Аптека различие по diopters (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Продукты питания,flavor,different_value,0,1890,169,152,17,0.8994082840236687,0.8448192275181448,34,0.9411764705882353,6,5,7.201360748909512e-12,1.0,rp_ddd768d2e238343df4557dcd;rp_ae90af2ba531aaa90b6da8f6;rp_c99469610b48bb68ca48ffe3,сырный | вишня | рамунэ,В категории Продукты питания различие по flavor (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Ювелирные изделия,weight,different_value,0,10560,323,285,38,0.8823529411764706,0.8426417336345201,62,0.9193548387096774,17,17,1.0,1.0,rp_6a7e4c5806f77dff81848a59;rp_de9d432bdc03fcc1cdb724ef;rp_47aa6613bcd0316b312df1fd,1.3 | 1.51 г | 12.71,В категории Ювелирные изделия различие по weight (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Хобби и творчество,diameter,different_value,0,422,68,63,5,0.9264705882352942,0.8391481160428226,15,0.9333333333333333,15,9,2.77077644581315e-07,1.0,rp_8c5c635a68751f664fb685bb;rp_932b08dacbaf9ec080ea6ebc;rp_bfc1cadce0997bb05071c24b,"7мм | 4 | 2,5",В категории Хобби и творчество различие по diameter (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,global_concept,__ALL__,model,different_value,0,46532,4109,3478,631,0.8464346556339742,0.8350878818631738,829,0.8636911942098915,18,18,1.5648578876152016e-189,1.0,rp_dce2dc381cac8f63a235a036;rp_951d9169c770acd97c7f16bb;rp_91b93592f41e8f51f5158d97,dp 300 | №82 | 6s7e0ea-wpro,В нескольких категориях различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Строительство и ремонт,length,different_value,0,2518,126,113,13,0.8968253968253969,0.8314622980954791,29,0.8620689655172413,17,13,0.00029481943344902226,1.0,rp_d34308bcb7202a41c0b2cd29;rp_801da783ed79f3e01d88af07;rp_9c3ae9d5d3d4b984f6600f06,770 | 108 мм | 10 м,В категории Строительство и ремонт различие по length (different_value) связано с меткой 0.
