example_group,rule_id,canonical_rule,concept,relation,global_support,global_positive,global_negative,category_count,single_difference_support,max_2_differences_support,strong_multi_difference_support,global_effect,global_effect_median,global_effect_low_95,global_effect_high_95,global_effect_sd,global_probability_positive,global_probability_negative,example_pair_ids,heterogeneity_tau2,scope_candidate,posterior_direction_signal,effect_class_placeholder,uncertainty,stability_placeholder,abs_effect
POSITIVE,rule_6c3f551a94760ef8,lubricant_type is explicitly known on only one side,lubricant_type,missing_one_side,4,4,0,1,0,2,2,5.905311249261669,5.429656290696957,2.7857522115681923,11.784345308056325,2.312963503056831,1.0,0.0,"[""rp_c940912d1dd16f5cba5cbbf1"", ""rp_a54c88be2052e65b9b9d8d1c"", ""rp_bf6e3626d1c5ca20329d4959"", ""rp_8107801ac5649832db27f28a""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,8.998593096488133,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
POSITIVE,rule_5d8381a4cf6398c3,toe_cap_material is explicitly known on only one side,toe_cap_material,missing_one_side,3,3,0,1,0,0,3,5.360918350978238,4.864613495659253,2.095818231575671,11.18194434822498,2.3622402731505296,1.0,0.0,"[""rp_64a6d4956cb05b4d509bbaeb"", ""rp_c561ea4d2d2712c47b724aa2"", ""rp_8ccd9fbe8b1b13a39af61ed0""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,9.086126116649307,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
POSITIVE,rule_08cfa56cd5fce66f,lubricant_base is explicitly known on only one side,lubricant_base,missing_one_side,2,2,0,1,0,0,2,5.2778834176037766,4.859672838737669,1.8324889394831414,11.218536582643038,2.348486438875737,0.9992,0.0008,"[""rp_5080ca04372c9ff5a8002173"", ""rp_8107801ac5649832db27f28a""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,9.386047643159896,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
POSITIVE,rule_5ca00578ba48ded7,intended_effect has different explicit values,intended_effect,different_value,2,2,0,1,0,1,1,5.215048482897549,4.784127819075058,1.8315591605907495,10.924415148699707,2.309769325325804,1.0,0.0,"[""rp_7764471fc277759ef85489b0"", ""rp_1c71f11da22fe39916cc589d""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,9.092855988108957,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
POSITIVE,rule_0fd98f0842771eb8,insert_color has different explicit values,insert_color,different_value,3,3,0,1,0,0,3,5.017580722077085,4.5717404898146405,1.8017737775149063,10.850065069855514,2.28773769413849,0.9998,0.0002,"[""rp_492e304b36e9908238592a8f"", ""rp_915e3de6e3c024df87db9c1e"", ""rp_9cf7697102af715728813b4c""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,9.048291292340608,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
POSITIVE,rule_d446ba9202bd03ef,boot_material has different explicit values,boot_material,different_value,2,2,0,1,0,0,2,4.915002321211526,4.478731373194941,1.5595112541354632,10.773659542647284,2.3727230297009667,0.9994,0.0006,"[""rp_7ff249ea5259ec86ebabd132"", ""rp_29944f03b309c0770ccdb90b""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,9.21414828851182,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
POSITIVE,rule_4b0938a085412f7b,microscope_type is explicitly known on only one side,microscope_type,missing_one_side,4,4,0,1,0,0,4,4.896749722185207,4.473821644196758,1.8116353277307928,10.397656199123563,2.218734239698937,1.0,0.0,"[""rp_36a86213ca4689a7fb10c548"", ""rp_45fef91dcf369bc2d01d209e"", ""rp_7e90a686e536141e045a0f86"", ""rp_75a3e0efbdcef4b27baf42a6""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,8.58602087139277,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
POSITIVE,rule_889a662b93890bcb,non_stick_coating is explicitly known on only one side,non_stick_coating,missing_one_side,7,7,0,2,0,0,7,4.826833158594837,4.373942109195158,1.7791354335092393,10.580397840467016,2.2985250689208954,1.0,0.0,"[""rp_9b90dff77ee7fe0eb0dd7f0c"", ""rp_bddc56c3dbe26d30b8a9f025"", ""rp_8c44dfd20102fb0adcefabc5"", ""rp_69dec672a375e4d6a3491e20"", ""rp_0632c24e2c4cfaa0edb5b25d""]",0.0,UNCERTAIN,POSITIVE,UNCERTAIN,8.801262406957777,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEGATIVE,rule_35f12577457fc677,frame_shape has different explicit values,frame_shape,different_value,1016,0,1016,2,0,1,1015,-6.364141075358488,-5.869586734182119,-12.002107424077279,-3.4345860991957893,2.243279234601443,0.0,1.0,"[""rp_eca6b86df15046a33b154e48"", ""rp_118d5dbeeeab935cdd974da6"", ""rp_a28711755e2e9b55c3a4e226"", ""rp_337189206638c5d9f8d1863c"", ""rp_7bbaf16594fa31bde8fdcd9e""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.56752132488149,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEGATIVE,rule_3dafe3e882f84fb0,curl_type has different explicit values,curl_type,different_value,73,0,73,1,0,13,60,-5.710554740516514,-5.23156171721767,-11.504325157185166,-2.8077205562854273,2.2359548489748295,0.0,1.0,"[""rp_37095e624fdf1c9b75e3ae5d"", ""rp_85dcd9391c2bac71c5815f00"", ""rp_2e19a83b77966c56effd2f21"", ""rp_69a8ca615377da92ba0de45c"", ""rp_f5d2d20751c0a467aa7ce301""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.69660460089974,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEGATIVE,rule_5af69a5fb1bf105b,curtain_width has different explicit values,curtain_width,different_value,112,0,112,2,3,7,105,-5.632334049773841,-5.174849941133421,-11.175860427625434,-2.7799617093544677,2.1428309801810097,0.0,1.0,"[""rp_570c4bc127779396e8b3dffa"", ""rp_36fa7a6f82ee58d4424d1eca"", ""rp_efca7881508378c830e4ba4f"", ""rp_5dd95423795f46748d16d6d6"", ""rp_7c1c405499d139fef6c90bb6""]",0.12625092417223982,UNCERTAIN,NEGATIVE,UNCERTAIN,8.395898718270967,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
NEGATIVE,rule_e35082696c4369a5,lash_curl has different explicit values,lash_curl,different_value,59,0,59,1,4,17,42,-5.491239237859792,-4.998260606293391,-11.074209336313249,-2.5384420893940822,2.2375716355037087,0.0,1.0,"[""rp_78c817f2c08e7308bddfd3b8"", ""rp_5dec182d2c51bc93d7bd8b0a"", ""rp_9f623698d765f4daca8d908e"", ""rp_3a7f712444f15f4b6ae43696"", ""rp_54e26eba00792d06f151fa08""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.535767246919168,NOT_CHECKED_RULE_INTERNAL_VALIDATION,
