rule_id,canonical_rule,concept,relation,semantic_family,selection_tier,global_support,global_positive,global_negative,single_difference_support,max_2_differences_support,global_effect_median,scope_candidate_frozen,validation_support,validation_positive,validation_negative,validation_max_2_differences_support,validation_effect_median,validation_stability,allowed_categories,core_alias_of,generation_guard
rule_29f632198488660a,paper_format has different explicit values,paper_format,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,52,3,49,4,14,-2.065038866777086,CATEGORY_SPECIFIC,3,0,3,0,-1.9107683155941386,SAME_DIRECTION_WEAK,"[""Канцелярские товары""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_bf4e1af70a1cb5c8,line_diameter has different explicit values,line_diameter,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,53,5,48,0,17,-1.1876532263206236,CATEGORY_SPECIFIC,3,0,3,0,-1.6188050720920453,SAME_DIRECTION_WEAK,"[""Спорт и отдых""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_881b64caa04f7de6,bed_width has different explicit values,bed_width,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,65,1,64,4,14,-2.258624809022107,CATEGORY_SPECIFIC,4,0,4,0,-1.1187170909666588,SAME_DIRECTION_WEAK,"[""Мебель""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_4137453645248326,instrument_size has different explicit values,instrument_size,different_value,instrument_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,66,0,66,2,5,-4.397972473643351,CATEGORY_SPECIFIC,4,0,4,0,-1.4056051762206776,SAME_DIRECTION_WEAK,"[""Музыкальные инструменты""]",,"Choose two valid but distinct values for the same instrument subtype and keep instrument family, brand and model context fixed."
rule_86a804769b0751e4,breaking_load has different explicit values,breaking_load,different_value,technical_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,73,4,69,0,18,-1.761582269949777,CATEGORY_SPECIFIC,6,1,5,0,-0.4438155685649896,SAME_DIRECTION_WEAK,"[""Спорт и отдых""]",,Change one normalized technical specification with the same unit and measurement definition; reject ranges that overlap.
rule_52a175a4ffef0a5d,tea_type has different explicit values,tea_type,different_value,consumable_variant,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,80,9,71,3,15,-1.0565123961593152,CATEGORY_SPECIFIC,5,1,4,0,-0.19361613135080274,SAME_DIRECTION_WEAK,"[""Продукты питания""]",,"Choose mutually exclusive explicit variants, not synonyms, mixtures, assortments or a broad value containing the narrow value."
rule_5af69a5fb1bf105b,curtain_width has different explicit values,curtain_width,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,112,0,112,3,7,-5.174849941133421,CATEGORY_SPECIFIC,6,0,6,0,-2.372541519767654,SAME_DIRECTION_WEAK,"[""Дом и сад""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
rule_f14d19617e2b7dd1,page_yield has different explicit values,page_yield,different_value,consumable_compatibility,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,113,4,109,0,5,-1.7054884748752392,CATEGORY_SPECIFIC,4,0,4,0,-1.1690049392425232,SAME_DIRECTION_WEAK,"[""Электроника""]",,Change the exact consumable specification while preserving compatible device family and all unrelated facts.
rule_12924103538622b8,base_curve has different explicit values,base_curve,different_value,optical_prescription,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,117,2,115,0,11,-1.4178764408789921,CATEGORY_SPECIFIC,3,0,3,0,-0.7207041621003645,SAME_DIRECTION_WEAK,"[""Аптека""]",,"Change one normalized prescription parameter only, preserve sign and unit semantics, and keep all other prescription fields fixed."
rule_9a63e5a726d04290,thickness has different explicit values,thickness,different_value,dimensional_spec,RARE_EXPERIMENTAL_NEEDS_CLEAN_VALIDATION,119,6,113,1,21,-1.9540810943069147,GLOBAL,6,0,6,0,-2.248188484245885,SAME_DIRECTION_WEAK,"[""Канцелярские товары"", ""Красота и гигиена""]",,"Change the named product dimension in the same unit; reject package dimensions, approximate measurements and missing values."
